Timestamp;G√©ner;Nivel m√°ximo de estudio;Alcald√≠;Edad;øHas escuchado alguna vez sobre la existencia de la violencia de gÈnero?;øConsideras un problema la violencia de gÈnero?;øAlguna ves has presenciado violencia de gÈnero?;øDonde has presenciado violencia de gÈnero?;øCu·les crees que podrÌan ser formas de Violencia de gÈnero?;øPor quÈ motivo crees que se dÈ la violencia de gÈnero?;øDentro de tu n˙cleo familiar has visto alguna vez violencia de gÈnero?;øQuÈ te provoca esta encuesta?;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 21:55:48;Mujer;Universidad;Cuauht√©mo;30;S√;S√;S√;En la familia, En el trabajo, En la escuela, En alguna instituci√≥n (gobierno, salud, etc.), en la call;Todas las anteriores;Religi√≥n, Costumbre familiar, Negligencia por parte de las autoridade;S√;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 22:00:31;Hombre;Preparatoria;Azcapotzalco;20;S√;S√;S√;Todas las anteriores;Todas las anteriores;Falta de educacion, Todas las anteriores;S√;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 22:01:08;Hombre;Universidad;Coyoac√°;19;S√;S√;No;Ninguno;Todas las anteriores;Falta de educacion, Costumbre familiar, Falta de cultura;No;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 22:05:35;Hombre;Preparatoria;Iztacalco;20;S√;S√;Tal vez;en la calle ;Todas las anteriores;Todas las anteriores;Tal vez;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 22:07:12;Mujer;Secundaria;Cuajimalpa de Morelos;18;S√;S√;S√;En la familia;Abuso verbal, Golpear, empujar, Agredir psicol√≥gicamente, Menospreciar, Humillar, Acosar, Abuso sexual, Todas las anteriore;Falta de educacion;S√;Molestia;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 22:07:14;Hombre;Preparatoria;¡lvaro ObregÛn;20;S√;S√;No;Ninguno;Abuso verbal, Golpear, empujar, Acosar;Falta de educacion;No;Molestia;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 22:08:11;Mujer;Universidad;Gustavo A. Madero;21;S√;S√;S√;En la familia, En la escuela;Todas las anteriores;Falta de educacion, Costumbre familiar, Falta de cultura, Nivel educativo;S√;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 22:08:55;Mujer;Preparatoria;Venustiano Carranza;20;S√;No;No;Ninguno;Todas las anteriores;Falta de educacion;No;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 22:11:24;Mujer;Preparatoria;Cuajimalpa de Morelos;21;S√;S√;S√;En la escuela;Abuso verbal, Agredir psicol√≥gicamente, Menospreciar, Humillar, Acosar, Abuso sexual, Micro agresione;Falta de educacion, Costumbre familiar, Falta de cultura, Negligencia por parte de las autoridades, Apariencia f√≠sic;S√;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 22:11:37;Hombre;Universidad;Iztapalapa;28;S√;S√;S√;En la familia, En la escuela;Todas las anteriores;Falta de educacion, Religi√≥n, Falta de cultura, Nivel educativo, Falta de difusi√;S√;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 22:16:07;Hombre;Universidad;Cuajimalpa de Morelos;20;S√;S√;Tal vez;En la familia, En la escuela;Abuso verbal, Golpear, empujar, Agredir psicol√≥gicamente, Menospreciar, Humillar, Acosar, Abuso sexual, Micro agresiones, Todas las anteriore;Todas las anteriores;Tal vez;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 22:16:24;Mujer;Universidad;Gustavo A. Madero;20;S√;S√;S√;En la familia, Calle;Todas las anteriores;Falta de educacion, Religi√≥n, Apariencia f√≠sica, Falta de difusi;S√;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 22:16:35;Mujer;Universidad;Iztacalco;23;S√;S√;S√;En la escuela;Todas las anteriores;Falta de educacion, Costumbre familiar, Falta de cultura, Negligencia por parte de las autoridades, Nivel educativo, Falta de difusi√≥;S√;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 22:18:47;Mujer;Universidad;Tl√°hua;23;S√;S√;S√;En la familia, En el trabajo, En la escuela;Abuso verbal, Golpear, empujar, Agredir psicol√≥gicamente, Menospreciar, Humillar, Acosar, Abuso sexual, Micro agresiones, Todas las anteriore;Falta de educacion, Religi√≥n, Costumbre familiar, Negligencia por parte de las autoridades, Nivel socio econ√≥mi;S√;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 22:24:03;Mujer;Preparatoria;Otro;33;S√;S√;S√;En el trabajo;Abuso verbal, Golpear, empujar, Agredir psicol√≥gicamente, Menospreciar, Humillar, Acosar, Abuso sexual, Micro agresiones, Todas las anteriore;Falta de educacion, Religi√≥n, Costumbre familiar, Falta de cultura, Negligencia por parte de las autoridades, Apariencia f√≠sica, Nivel educativo, Nivel socio econ√≥mico, Falta de difusi√≥n, Todas las anteri;No;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 22:35:21;Mujer;Universidad;Otro;21;S√;S√;S√;En la escuela, En alguna instituci√≥n (gobierno, salud, etc.;Todas las anteriores;Todas las anteriores;Tal vez;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 22:36:57;Mujer;Universidad;Coyoac√°;19;S√;S√;No;Ninguno;Agredir psicol√≥gicamente, Menospreciar, Humillar, Micro agresione;Falta de educacion, Costumbre familiar, Falta de cultura, Nivel socio econ√≥mic;No;Indiferencia;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 22:37:52;Hombre;Preparatoria;Iztacalco;20;S√;S√;S√;En el trabajo;Ninguna;Falta de educacion, Costumbre familiar, Nivel educativo;S√;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 22:38:27;Hombre;Universidad;Tl√°hua;21;S√;S√;No;Ninguno;Todas las anteriores;Falta de educacion;No;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 22:43:38;Mujer;Preparatoria;Gustavo A. Madero;20;S√;S√;No;Ninguno;Todas las anteriores;Todas las anteriores;No;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 22:48:14;Mujer;Universidad;Coyoac√°;23;S√;S√;S√;Todas las anteriores;Todas las anteriores;Falta de educacion, Costumbre familiar, Falta de cultura, Apariencia f√≠sica, Nivel educativo, Falta de difusi√;S√;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 22:49:33;Mujer;Preparatoria;Gustavo A. Madero;30;S√;S√;S√;En el trabajo;Todas las anteriores;Falta de educacion, Costumbre familiar, Negligencia por parte de las autoridades;No;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 22:49:39;Mujer;Secundaria;Otro;22;S√;S√;S√;En la escuela;Abuso verbal, Golpear, empujar, Agredir psicol√≥gicamente, Humillar, Acosa;Falta de educacion, Falta de cultura, Negligencia por parte de las autoridades;No;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 22:51:25;Mujer;Universidad;Gustavo A. Madero;24;S√;S√;S√;En el trabajo, En la escuela;Todas las anteriores;Falta de educacion, Falta de cultura;No;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 22:55:39;Mujer;Universidad;Gustavo A. Madero;19;S√;S√;S√;En la escuela, En alguna instituci√≥n (gobierno, salud, etc.;Todas las anteriores;Todas las anteriores;No;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 23:01:13;Mujer;Universidad;Gustavo A. Madero;48;S√;S√;S√;En alguna instituci√≥n (gobierno, salud, etc.;Todas las anteriores;Todas las anteriores;Tal vez;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 23:11:23;Mujer;Preparatoria;Venustiano Carranza;18;S√;S√;S√;En la familia, En el trabajo, En la escuela, En alguna instituci√≥n (gobierno, salud, etc.), Todas las anteriore;Abuso verbal, Golpear, empujar, Agredir psicol√≥gicamente, Menospreciar, Humillar, Acosar, Abuso sexual, Micro agresiones, Todas las anteriore;Religi√≥n, Costumbre familiar, Negligencia por parte de las autoridade;S√;Molestia;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 23:14:59;Hombre;Universidad;Gustavo A. Madero;33;S√;S√;S√;En la familia, En la escuela;Todas las anteriores;Falta de educacion, Negligencia por parte de las autoridades;S√;Indiferencia;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 23:18:05;Mujer;Universidad;Azcapotzalco;21;S√;S√;S√;Todas las anteriores;Todas las anteriores;Todas las anteriores;S√;Molestia;;;;;;;;;;;;;;;;;;;;;;;
3/27/2021 0:04:30;Hombre;Preparatoria;Otro;19;S√;S√;S√;En la familia, En el trabajo, En alguna instituci√≥n (gobierno, salud, etc.;Abuso verbal, Golpear, empujar, Agredir psicol√≥gicamente, Menospreciar, Humillar, Acosar, Abuso sexual, Micro agresiones, Todas las anteriore;Todas las anteriores;S√;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/27/2021 1:29:42;Hombre;Universidad;La Magdalena Contreras;20;S√;S√;No;En la calle ;Abuso verbal, Golpear, empujar, Agredir psicol√≥gicamente, Menospreciar, Humillar, Acosar, Abuso sexual, Micro agresiones, Todas las anteriore;Falta de educacion, Religi√≥n, Costumbre familiar, Falta de cultura, Negligencia por parte de las autoridades, Apariencia f√≠sica, Nivel educativo, Nivel socio econ√≥mico, Falta de difusi√≥n, Todas las anteri;Tal vez;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/27/2021 1:38:44;Mujer;Preparatoria;Iztapalapa;21;S√;S√;Tal vez;En la escuela;Todas las anteriores;Falta de educacion, Por qu√© est√° tan normalizado que ya es algo cotidiano;Tal vez;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/27/2021 1:45:19;Mujer;Preparatoria;Otro;17;S√;S√;S√;Todas las anteriores;Todas las anteriores;Falta de educacion, Religi√≥n, Costumbre familiar, Falta de cultura, Apariencia f√≠sica, Nivel socio econ√≥m;Tal vez;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/27/2021 1:49:40;Prefiero no decirlo;Preparatoria;Gustavo A. Madero;17;S√;S√;S√;En la familia, En el trabajo, En la escuela, En alguna instituci√≥n (gobierno, salud, etc.), Todas las anteriore;Abuso verbal, Golpear, empujar, Agredir psicol√≥gicamente, Menospreciar, Humillar, Acosar, Abuso sexual, Micro agresiones, Todas las anteriore;Falta de educacion, Costumbre familiar, Falta de cultura;S√;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/27/2021 2:09:17;Mujer;Preparatoria;Benito Ju√°re;20;S√;S√;S√;En la escuela, En alguna instituci√≥n (gobierno, salud, etc.;Todas las anteriores;Todas las anteriores;S√;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/27/2021 2:26:10;Mujer;Preparatoria;¡lvaro ObregÛn;20;S√;S√;S√;Todas las anteriores;Todas las anteriores;Todas las anteriores;S√;Me importa;;;;;;;;;;;;;;;;;;;;;;;
